date,home_team,away_team,team,scorer,minute,own_goal,penalty,torneio
1916-07-08,Brazil,Chile,Brazil,Demóstenes Correia de Syllos,29,FALSE,FALSE,Copa America
1916-07-10,Argentina,Brazil,Brazil,Manoel Alencar Monte,23,FALSE,FALSE,Copa America
1916-07-12,Brazil,Uruguay,Brazil,Arthur Friedenreich,8,FALSE,FALSE,Copa América
1917-10-03,Argentina,Brazil,Brazil,Neco,8,FALSE,FALSE,Copa América
1917-10-03,Argentina,Brazil,Brazil,Silvio Lagreca,39,FALSE,TRUE,Copa América
1917-10-12,Brazil,Chile,Brazil,Caetano Izzo,21,FALSE,FALSE,Copa América
1917-10-12,Brazil,Chile,Brazil,Neco,23,FALSE,FALSE,Copa América
1917-10-12,Brazil,Chile,Brazil,Haroldo Domingues,26,FALSE,FALSE,Copa América
1917-10-12,Brazil,Chile,Brazil,Amílcar Barbuy,41,FALSE,FALSE,Copa América
1917-10-12,Brazil,Chile,Brazil,Haroldo Domingues,59,FALSE,FALSE,Copa América
1919-05-11,Brazil,Chile,Brazil,Arthur Friedenreich,19,FALSE,FALSE,Copa América
1919-05-11,Brazil,Chile,Brazil,Neco,21,FALSE,FALSE,Copa América
1919-05-11,Brazil,Chile,Brazil,Arthur Friedenreich,38,FALSE,FALSE,Copa América
1919-05-11,Brazil,Chile,Brazil,Arthur Friedenreich,76,FALSE,FALSE,Copa América
1919-05-11,Brazil,Chile,Brazil,Haroldo Domingues,79,FALSE,FALSE,Copa América
1919-05-11,Brazil,Chile,Brazil,Neco,83,FALSE,FALSE,Copa América
1919-05-18,Brazil,Argentina,Brazil,Heitor,22,FALSE,FALSE,Copa América
1919-05-18,Brazil,Argentina,Brazil,Amílcar Barbuy,57,FALSE,FALSE,Copa América
1919-05-18,Brazil,Argentina,Brazil,Adolpho Millón Junior,77,FALSE,FALSE,Copa América
1919-05-26,Brazil,Uruguay,Brazil,Neco,29,FALSE,FALSE,Copa América
1919-05-26,Brazil,Uruguay,Brazil,Neco,63,FALSE,FALSE,Copa América
1919-05-29,Brazil,Uruguay,Brazil,Arthur Friedenreich,122,FALSE,FALSE,Copa América
1920-09-11,Chile,Brazil,Brazil,Ismael Alvariza,53,FALSE,FALSE,Copa América
1921-10-12,Brazil,Paraguay,Brazil,Ernesto Duarte Machado da Silva,21,FALSE,FALSE,Copa América
1921-10-12,Brazil,Paraguay,Brazil,Ernesto Duarte Machado da Silva,44,FALSE,FALSE,Copa América
1921-10-12,Brazil,Paraguay,Brazil,Aníbal Médicis Candiota,46,FALSE,FALSE,Copa América
1921-10-23,Brazil,Uruguay,Brazil,José Carlos Guimarães,53,FALSE,FALSE,Copa América
1922-09-17,Brazil,Chile,Brazil,Altino Marcondes,9,FALSE,FALSE,Copa América
1922-09-24,Brazil,Paraguay,Brazil,Amílcar Barbuy,14,FALSE,FALSE,Copa América
1922-10-15,Brazil,Argentina,Brazil,Neco,42,FALSE,FALSE,Copa América
1922-10-15,Brazil,Argentina,Brazil,Amílcar Barbuy,86,FALSE,TRUE,Copa América
1922-11-06,Brazil,Paraguay,Brazil,Neco,11,FALSE,FALSE,Copa América
1922-11-06,Brazil,Paraguay,Brazil,Xavier Camargo,48,FALSE,FALSE,Copa América
1922-11-06,Brazil,Paraguay,Brazil,Xavier Camargo,89,FALSE,FALSE,Copa América
1923-11-18,Argentina,Brazil,Brazil,Nilo Braga,15,FALSE,FALSE,Copa América
